survived,pclass,sex,age,sibsp,parch,fare,embarked,who,alone
0,3,male,22.0,1,0,7.25,S,man,False
1,1,female,38.0,1,0,71.2833,C,woman,False
1,3,female,26.0,0,0,7.925,S,woman,True
1,1,female,35.0,1,0,53.1,S,woman,False
0,3,male,35.0,0,0,8.05,S,man,True
0,3,male,28.0,0,0,8.4583,Q,man,True
0,1,male,54.0,0,0,51.8625,S,man,True
0,3,male,2.0,3,1,21.075,S,child,False
1,3,female,27.0,0,2,11.1333,S,woman,False
1,2,female,14.0,1,0,30.0708,C,child,False
1,3,female,4.0,1,1,16.7,S,child,False
1,1,female,58.0,0,0,26.55,S,woman,True
0,3,male,20.0,0,0,8.05,S,man,True
0,3,male,39.0,1,5,31.275,S,man,False
0,3,female,14.0,0,0,7.8542,S,child,True
1,2,female,55.0,0,0,16.0,S,woman,True
0,3,male,2.0,4,1,29.125,Q,child,False
1,2,male,28.0,0,0,13.0,S,man,True
0,3,female,31.0,1,0,18.0,S,woman,False
1,3,female,28.0,0,0,7.225,C,woman,True
0,2,male,35.0,0,0,26.0,S,man,True
1,2,male,34.0,0,0,13.0,S,man,True
1,3,female,15.0,0,0,8.0292,Q,child,True
1,1,male,28.0,0,0,35.5,S,man,True
0,3,female,8.0,3,1,21.075,S,child,False
1,3,female,38.0,1,5,31.3875,S,woman,False
0,3,male,28.0,0,0,7.225,C,man,True
0,1,male,19.0,3,2,263.0,S,man,False
1,3,female,28.0,0,0,7.8792,Q,woman,True
0,3,male,28.0,0,0,7.8958,S,man,True
0,1,male,40.0,0,0,27.7208,C,man,True
1,1,female,28.0,1,0,146.5208,C,woman,False
1,3,female,28.0,0,0,7.75,Q,woman,True
0,2,male,66.0,0,0,10.5,S,man,True
0,1,male,28.0,1,0,82.1708,C,man,False
0,1,male,42.0,1,0,52.0,S,man,False
1,3,male,28.0,0,0,7.2292,C,man,True
0,3,male,21.0,0,0,8.05,S,man,True
0,3,female,18.0,2,0,18.0,S,woman,False
1,3,female,14.0,1,0,11.2417,C,child,False
0,3,female,40.0,1,0,9.475,S,woman,False
0,2,female,27.0,1,0,21.0,S,woman,False
0,3,male,28.0,0,0,7.8958,C,man,True
1,2,female,3.0,1,2,41.5792,C,child,False
1,3,female,19.0,0,0,7.8792,Q,woman,True
0,3,male,28.0,0,0,8.05,S,man,True
0,3,male,28.0,1,0,15.5,Q,man,False
1,3,female,28.0,0,0,7.75,Q,woman,True
0,3,male,28.0,2,0,21.6792,C,man,False
0,3,female,18.0,1,0,17.8,S,woman,False
0,3,male,7.0,4,1,39.6875,S,child,False
0,3,male,21.0,0,0,7.8,S,man,True
1,1,female,49.0,1,0,76.7292,C,woman,False
1,2,female,29.0,1,0,26.0,S,woman,False
0,1,male,65.0,0,1,61.9792,C,man,False
1,1,male,28.0,0,0,35.5,S,man,True
1,2,female,21.0,0,0,10.5,S,woman,True
0,3,male,28.5,0,0,7.2292,C,man,True
1,2,female,5.0,1,2,27.75,S,child,False
0,3,male,11.0,5,2,46.9,S,child,False
0,3,male,22.0,0,0,7.2292,C,man,True
1,1,female,38.0,0,0,80.0,S,woman,True
0,1,male,45.0,1,0,83.475,S,man,False
0,3,male,4.0,3,2,27.9,S,child,False
0,1,male,28.0,0,0,27.7208,C,man,True
1,3,male,28.0,1,1,15.2458,C,man,False
1,2,female,29.0,0,0,10.5,S,woman,True
0,3,male,19.0,0,0,8.1583,S,man,True
1,3,female,17.0,4,2,7.925,S,woman,False
0,3,male,26.0,2,0,8.6625,S,man,False
0,2,male,32.0,0,0,10.5,S,man,True
0,3,female,16.0,5,2,46.9,S,woman,False
0,2,male,21.0,0,0,73.5,S,man,True
0,3,male,26.0,1,0,14.4542,C,man,False
1,3,male,32.0,0,0,56.4958,S,man,True
0,3,male,25.0,0,0,7.65,S,man,True
0,3,male,28.0,0,0,7.8958,S,man,True
0,3,male,28.0,0,0,8.05,S,man,True
1,2,male,0.83,0,2,29.0,S,child,False
1,3,female,30.0,0,0,12.475,S,woman,True
0,3,male,22.0,0,0,9.0,S,man,True
1,3,male,29.0,0,0,9.5,S,man,True
1,3,female,28.0,0,0,7.7875,Q,woman,True
0,1,male,28.0,0,0,47.1,S,man,True
1,2,female,17.0,0,0,10.5,S,woman,True
1,3,female,33.0,3,0,15.85,S,woman,False
0,3,male,16.0,1,3,34.375,S,man,False
0,3,male,28.0,0,0,8.05,S,man,True
1,1,female,23.0,3,2,263.0,S,woman,False
0,3,male,24.0,0,0,8.05,S,man,True
0,3,male,29.0,0,0,8.05,S,man,True
0,3,male,20.0,0,0,7.8542,S,man,True
0,1,male,46.0,1,0,61.175,S,man,False
0,3,male,26.0,1,2,20.575,S,man,False
0,3,male,59.0,0,0,7.25,S,man,True
0,3,male,28.0,0,0,8.05,S,man,True
0,1,male,71.0,0,0,34.6542,C,man,True
1,1,male,23.0,0,1,63.3583,C,man,False
1,2,female,34.0,0,1,23.0,S,woman,False
0,2,male,34.0,1,0,26.0,S,man,False
0,3,female,28.0,0,0,7.8958,S,woman,True
0,3,male,28.0,0,0,7.8958,S,man,True
0,1,male,21.0,0,1,77.2875,S,man,False
0,3,male,33.0,0,0,8.6542,S,man,True
0,3,male,37.0,2,0,7.925,S,man,False
0,3,male,28.0,0,0,7.8958,S,man,True
1,3,female,21.0,0,0,7.65,S,woman,True
1,3,male,28.0,0,0,7.775,S,man,True
0,3,male,38.0,0,0,7.8958,S,man,True
1,3,female,28.0,1,0,24.15,Q,woman,False
0,1,male,47.0,0,0,52.0,S,man,True
0,3,female,14.5,1,0,14.4542,C,child,False
0,3,male,22.0,0,0,8.05,S,man,True
0,3,female,20.0,1,0,9.825,S,woman,False
0,3,female,17.0,0,0,14.4583,C,woman,True
0,3,male,21.0,0,0,7.925,S,man,True
0,3,male,70.5,0,0,7.75,Q,man,True
0,2,male,29.0,1,0,21.0,S,man,False
0,1,male,24.0,0,1,247.5208,C,man,False
0,3,female,2.0,4,2,31.275,S,child,False
0,2,male,21.0,2,0,73.5,S,man,False
0,3,male,28.0,0,0,8.05,S,man,True
0,2,male,32.5,1,0,30.0708,C,man,False
1,2,female,32.5,0,0,13.0,S,woman,True
0,1,male,54.0,0,1,77.2875,S,man,False
1,3,male,12.0,1,0,11.2417,C,child,False
0,3,male,28.0,0,0,7.75,Q,man,True
1,3,male,24.0,0,0,7.1417,S,man,True
1,3,female,28.0,1,1,22.3583,C,woman,False
0,3,male,45.0,0,0,6.975,S,man,True
0,3,male,33.0,0,0,7.8958,C,man,True
0,3,male,20.0,0,0,7.05,S,man,True
0,3,female,47.0,1,0,14.5,S,woman,False
1,2,female,29.0,1,0,26.0,S,woman,False
0,2,male,25.0,0,0,13.0,S,man,True
0,2,male,23.0,0,0,15.0458,C,man,True
1,1,female,19.0,0,2,26.2833,S,woman,False
0,1,male,37.0,1,0,53.1,S,man,False
0,3,male,16.0,0,0,9.2167,S,man,True
0,1,male,24.0,0,0,79.2,C,man,True
0,3,female,28.0,0,2,15.2458,C,woman,False
1,3,female,22.0,0,0,7.75,S,woman,True
1,3,female,24.0,1,0,15.85,S,woman,False
0,3,male,19.0,0,0,6.75,Q,man,True
0,2,male,18.0,0,0,11.5,S,man,True
0,2,male,19.0,1,1,36.75,S,man,False
1,3,male,27.0,0,0,7.7958,S,man,True
0,3,female,9.0,2,2,34.375,S,child,False
0,2,male,36.5,0,2,26.0,S,man,False
0,2,male,42.0,0,0,13.0,S,man,True
0,2,male,51.0,0,0,12.525,S,man,True
1,1,female,22.0,1,0,66.6,S,woman,False
0,3,male,55.5,0,0,8.05,S,man,True
0,3,male,40.5,0,2,14.5,S,man,False
0,3,male,28.0,0,0,7.3125,S,man,True
0,1,male,51.0,0,1,61.3792,C,man,False
1,3,female,16.0,0,0,7.7333,Q,woman,True
0,3,male,30.0,0,0,8.05,S,man,True
0,3,male,28.0,0,0,8.6625,S,man,True
0,3,male,28.0,8,2,69.55,S,man,False
0,3,male,44.0,0,1,16.1,S,man,False
1,2,female,40.0,0,0,15.75,S,woman,True
0,3,male,26.0,0,0,7.775,S,man,True
0,3,male,17.0,0,0,8.6625,S,man,True
0,3,male,1.0,4,1,39.6875,S,child,False
1,3,male,9.0,0,2,20.525,S,child,False
1,1,female,28.0,0,1,55.0,S,woman,False
0,3,female,45.0,1,4,27.9,S,woman,False
0,1,male,28.0,0,0,25.925,S,man,True
0,3,male,28.0,0,0,56.4958,S,man,True
0,1,male,61.0,0,0,33.5,S,man,True
0,3,male,4.0,4,1,29.125,Q,child,False
1,3,female,1.0,1,1,11.1333,S,child,False
0,3,male,21.0,0,0,7.925,S,man,True
0,1,male,56.0,0,0,30.6958,C,man,True
0,3,male,18.0,1,1,7.8542,S,man,False
0,3,male,28.0,3,1,25.4667,S,man,False
0,1,female,50.0,0,0,28.7125,C,woman,True
0,2,male,30.0,0,0,13.0,S,man,True
0,3,male,36.0,0,0,0.0,S,man,True
0,3,female,28.0,8,2,69.55,S,woman,False
0,2,male,28.0,0,0,15.05,C,man,True
0,3,male,9.0,4,2,31.3875,S,child,False
1,2,male,1.0,2,1,39.0,S,child,False
1,3,female,4.0,0,2,22.025,S,child,False
0,1,male,28.0,0,0,50.0,S,man,True
1,3,female,28.0,1,0,15.5,Q,woman,False
1,1,male,45.0,0,0,26.55,S,man,True
0,3,male,40.0,1,1,15.5,Q,man,False
0,3,male,36.0,0,0,7.8958,S,man,True
1,2,female,32.0,0,0,13.0,S,woman,True
0,2,male,19.0,0,0,13.0,S,man,True
1,3,female,19.0,1,0,7.8542,S,woman,False
1,2,male,3.0,1,1,26.0,S,child,False
1,1,female,44.0,0,0,27.7208,C,woman,True
1,1,female,58.0,0,0,146.5208,C,woman,True
0,3,male,28.0,0,0,7.75,Q,man,True
0,3,male,42.0,0,1,8.4042,S,man,False
1,3,female,28.0,0,0,7.75,Q,woman,True
0,2,female,24.0,0,0,13.0,S,woman,True
0,3,male,28.0,0,0,9.5,S,man,True
0,3,male,28.0,8,2,69.55,S,man,False
0,3,male,34.0,0,0,6.4958,S,man,True
0,3,male,45.5,0,0,7.225,C,man,True
1,3,male,18.0,0,0,8.05,S,man,True
0,3,female,2.0,0,1,10.4625,S,child,False
0,3,male,32.0,1,0,15.85,S,man,False
1,3,male,26.0,0,0,18.7875,C,man,True
1,3,female,16.0,0,0,7.75,Q,woman,True
1,1,male,40.0,0,0,31.0,C,man,True
0,3,male,24.0,0,0,7.05,S,man,True
1,2,female,35.0,0,0,21.0,S,woman,True
0,3,male,22.0,0,0,7.25,S,man,True
0,2,male,30.0,0,0,13.0,S,man,True
0,3,male,28.0,1,0,7.75,Q,man,False
1,1,female,31.0,1,0,113.275,C,woman,False
1,3,female,27.0,0,0,7.925,S,woman,True
0,2,male,42.0,1,0,27.0,S,man,False
1,1,female,32.0,0,0,76.2917,C,woman,True
0,2,male,30.0,0,0,10.5,S,man,True
1,3,male,16.0,0,0,8.05,S,man,True
0,2,male,27.0,0,0,13.0,S,man,True
0,3,male,51.0,0,0,8.05,S,man,True
0,3,male,28.0,0,0,7.8958,S,man,True
1,1,male,38.0,1,0,90.0,S,man,False
0,3,male,22.0,0,0,9.35,S,man,True
1,2,male,19.0,0,0,10.5,S,man,True
0,3,male,20.5,0,0,7.25,S,man,True
0,2,male,18.0,0,0,13.0,S,man,True
0,3,female,28.0,3,1,25.4667,S,woman,False
1,1,female,35.0,1,0,83.475,S,woman,False
0,3,male,29.0,0,0,7.775,S,man,True
0,2,male,59.0,0,0,13.5,S,man,True
1,3,female,5.0,4,2,31.3875,S,child,False
0,2,male,24.0,0,0,10.5,S,man,True
0,3,female,28.0,0,0,7.55,S,woman,True
0,2,male,44.0,1,0,26.0,S,man,False
1,2,female,8.0,0,2,26.25,S,child,False
0,2,male,19.0,0,0,10.5,S,man,True
0,2,male,33.0,0,0,12.275,S,man,True
0,3,female,28.0,1,0,14.4542,C,woman,False
1,3,female,28.0,1,0,15.5,Q,woman,False
0,2,male,29.0,0,0,10.5,S,man,True
0,3,male,22.0,0,0,7.125,S,man,True
0,3,male,30.0,0,0,7.225,C,man,True
0,1,male,44.0,2,0,90.0,Q,man,False
0,3,female,25.0,0,0,7.775,S,woman,True
1,2,female,24.0,0,2,14.5,S,woman,False
1,1,male,37.0,1,1,52.5542,S,man,False
0,2,male,54.0,1,0,26.0,S,man,False
0,3,male,28.0,0,0,7.25,S,man,True
0,3,female,29.0,1,1,10.4625,S,woman,False
0,1,male,62.0,0,0,26.55,S,man,True
0,3,male,30.0,1,0,16.1,S,man,False
0,3,female,41.0,0,2,20.2125,S,woman,False
1,3,female,29.0,0,2,15.2458,C,woman,False
1,1,female,28.0,0,0,79.2,C,woman,True
1,1,female,30.0,0,0,86.5,S,woman,True
1,1,female,35.0,0,0,512.3292,C,woman,True
1,2,female,50.0,0,1,26.0,S,woman,False
0,3,male,28.0,0,0,7.75,Q,man,True
1,3,male,3.0,4,2,31.3875,S,child,False
0,1,male,52.0,1,1,79.65,S,man,False
0,1,male,40.0,0,0,0.0,S,man,True
0,3,female,28.0,0,0,7.75,Q,woman,True
0,2,male,36.0,0,0,10.5,S,man,True
0,3,male,16.0,4,1,39.6875,S,man,False
1,3,male,25.0,1,0,7.775,S,man,False
1,1,female,58.0,0,1,153.4625,S,woman,False
1,1,female,35.0,0,0,135.6333,S,woman,True
0,1,male,28.0,0,0,31.0,S,man,True
1,3,male,25.0,0,0,0.0,S,man,True
1,2,female,41.0,0,1,19.5,S,woman,False
0,1,male,37.0,0,1,29.7,C,man,False
1,3,female,28.0,0,0,7.75,Q,woman,True
1,1,female,63.0,1,0,77.9583,S,woman,False
0,3,female,45.0,0,0,7.75,S,woman,True
0,2,male,28.0,0,0,0.0,S,man,True
0,3,male,7.0,4,1,29.125,Q,child,False
1,3,female,35.0,1,1,20.25,S,woman,False
0,3,male,65.0,0,0,7.75,Q,man,True
0,3,male,28.0,0,0,7.8542,S,man,True
0,3,male,16.0,0,0,9.5,S,man,True
1,3,male,19.0,0,0,8.05,S,man,True
0,1,male,28.0,0,0,26.0,S,man,True
0,3,male,33.0,0,0,8.6625,C,man,True
1,3,male,30.0,0,0,9.5,S,man,True
0,3,male,22.0,0,0,7.8958,S,man,True
